Time Interval,Close,Net Chg,Open,High,Low,Tick Count
Summary,17543.43,444.87,17052.42,17970.51,11172.73,410634
09:30 - 10:00,17060.03,-38.53,17052.42,17072.94,17040.66,120
10:00 - 10:30,17053.58,-6.45,17061.03,17062.82,17045.41,120
10:30 - 11:00,17034.19,-19.39,17050.74,17050.74,17028.16,120
11:00 - 11:30,17041.99,7.8,17034.43,17044.66,17033.97,120
11:30 - 12:00,17045.31,3.32,17041.75,17050.77,17034.23,120
12:00 - 12:30,17044.81,-0.5,17045.66,17050.46,17039.26,120
12:30 - 13:00,17039.12,-5.69,17046.04,17050.42,17036.93,120
13:00 - 13:30,17044.44,5.32,17039.18,17046.4,17038.61,120
13:30 - 14:00,17037.38,-7.06,17044.76,17047.17,17035.18,120
14:00 - 14:30,17042.39,5.01,17036.81,17043.33,17033.78,120
14:30 - 15:00,17034.53,-7.86,17042.27,17043.14,17034.53,120
15:00 - 15:30,17047.65,13.12,17032.85,17047.65,17027.4,120
15:30 - 16:00,17060.17,12.52,17048.81,17079.51,17048.81,120
16:00 - 16:30,17063.43,3.26,17063.43,17063.43,17063.43,81
09:30 - 10:00,17119.55,56.12,17131.63,17164.55,17116.64,120
10:00 - 10:30,17082.51,-37.04,17106.26,17111.14,17072.2,120
10:30 - 11:00,17076,-6.51,17083.8,17083.8,17069.1,120
11:00 - 11:30,17076.07,0.07,17074.14,17083.76,17072.02,120
11:30 - 12:00,17065.05,-11.02,17075.23,17079.17,17058.83,120
12:00 - 12:30,17064.36,-0.69,17066.22,17068.67,17060.81,120
12:30 - 13:00,17061.28,-3.08,17063.95,17065.73,17058.06,120
13:00 - 13:30,17056.13,-5.15,17061.79,17061.79,17043.47,120
13:30 - 14:00,17050.67,-5.46,17056.41,17056.65,17048.5,120
14:00 - 14:30,17063,12.33,17051.05,17063.46,17050.51,120
14:30 - 15:00,17073.88,10.88,17062.82,17081.13,17062.42,120
15:00 - 15:30,17072.16,-1.72,17074.41,17078.13,17067.65,120
15:30 - 16:00,17094.73,22.57,17071.93,17100.79,17070.87,120
16:00 - 16:30,17099.95,5.22,17099.95,17099.95,17099.95,81
09:30 - 10:00,17067.91,-32.04,17054.84,17077.72,17038.18,120
10:00 - 10:30,17049.39,-18.52,17056.61,17068.8,17033.21,120
10:30 - 11:00,17066.67,17.28,17048.89,17081.55,17048.89,120
11:00 - 11:30,17068.28,1.61,17070.28,17073.03,17057,120
11:30 - 12:00,17075.08,6.8,17069.57,17091.04,17069.57,120
12:00 - 12:30,17097.97,22.89,17073.63,17098.64,17073.63,120
12:30 - 13:00,17090.96,-7.01,17097.26,17105.66,17088.84,120
13:00 - 13:30,17084.23,-6.73,17090.96,17094.77,17078.81,120
13:30 - 14:00,17073.57,-10.66,17083.62,17083.62,17060.6,120
14:00 - 14:30,17056.75,-16.82,17073.78,17073.78,17054.87,120
14:30 - 15:00,17064.69,7.94,17055.96,17065.56,17051.67,120
15:00 - 15:30,17058.24,-6.45,17063.99,17071.1,17057.14,120
15:30 - 16:00,17069.15,10.91,17058.6,17069.15,17047.63,120
16:00 - 16:30,17066.12,-3.03,17066.12,17066.12,17066.12,81
09:30 - 10:00,17061.25,-4.87,17042.25,17074.53,17042.25,120
10:00 - 10:30,17053.8,-7.45,17060.78,17067.19,17053.03,120
10:30 - 11:00,17052.38,-1.42,17054.3,17076.29,17045.56,120
11:00 - 11:30,17047.73,-4.65,17053.06,17056.56,17047.14,120
11:30 - 12:00,17058.32,10.59,17041.16,17061.04,17041.16,120
12:00 - 12:30,17064.27,5.95,17058.57,17064.4,17052.49,120
12:30 - 13:00,17071.43,7.16,17063.85,17076.08,17063.76,120
13:00 - 13:30,17077.19,5.76,17071.12,17078.74,17070.5,120
13:30 - 14:00,17086.52,9.33,17077.48,17087.51,17077.48,120
14:00 - 14:30,17093.86,7.34,17086.18,17097.31,17084.14,120
14:30 - 15:00,17086.59,-7.27,17094.7,17097.16,17084.92,120
