Time Interval,Close,Net Chg,Open,High,Low,Tick Count
Summary,5599.41,-382.81,5970.59,6111.41,3632.06,538964
03:00 - 03:30,5968.52,-13.7,5970.59,5972.02,5958.25,119
03:30 - 04:00,5978.24,9.72,5968.96,5979.66,5968.96,120
04:00 - 04:30,5985.2,6.96,5978.69,5986.92,5978.69,120
04:30 - 05:00,5981.11,-4.09,5985.46,5987.22,5980.94,120
05:00 - 05:30,5982.47,1.36,5980.92,5983.18,5975.13,120
05:30 - 06:00,5984.74,2.27,5982.36,5986.53,5981.65,120
06:00 - 06:30,5977.8,-6.94,5983.91,5984.9,5977.8,120
06:30 - 07:00,5980.77,2.97,5977.25,5981.96,5974.99,120
07:00 - 07:30,5979.06,-1.71,5980.74,5983.22,5976.87,120
07:30 - 08:00,5977.87,-1.19,5979.07,5982.59,5977.87,120
08:00 - 08:30,5978.06,0.19,5976.14,5978.06,5976.14,120
08:30 - 09:00,5978.06,0,5978.06,5978.06,5978.06,120
09:00 - 09:30,5978.06,0,5978.06,5978.06,5978.06,120
09:30 - 10:00,5978.06,0,5978.06,5978.06,5978.06,120
10:00 - 10:30,5978.06,0,5978.06,5978.06,5978.06,120
10:30 - 11:00,5978.06,0,5978.06,5978.06,5978.06,120
11:00 - 11:30,5978.06,0,5978.06,5978.06,5978.06,120
11:30 - 12:00,5978.06,0,5978.06,5978.06,5978.06,60
03:00 - 03:30,6026.81,48.75,6016.61,6035.89,6011.21,119
03:30 - 04:00,6047.65,20.84,6028.56,6048.37,6027.04,120
04:00 - 04:30,6047.66,0.01,6048.01,6057.05,6046.02,120
04:30 - 05:00,6058.62,10.96,6047.33,6060.8,6043.29,120
05:00 - 05:30,6059.26,0.64,6058.56,6060.74,6053.85,120
05:30 - 06:00,6056.88,-2.38,6059.76,6062.92,6056.88,120
06:00 - 06:30,6045.25,-11.63,6056.78,6056.9,6044.98,120
06:30 - 07:00,6047.19,1.94,6044.98,6047.19,6037.11,120
07:00 - 07:30,6056.96,9.77,6047.49,6056.99,6047.15,120
07:30 - 08:00,6058.47,1.51,6056.6,6059.94,6054.37,120
08:00 - 08:30,6056.06,-2.41,6058.27,6059.61,6055.99,120
08:30 - 09:00,6052.74,-3.32,6056.53,6057.73,6051.56,120
09:00 - 09:30,6054.74,2,6052.92,6054.98,6050.48,120
09:30 - 10:00,6054.41,-0.33,6054.32,6058.4,6053.44,120
10:00 - 10:30,6053.12,-1.29,6053.31,6053.31,6045.85,120
10:30 - 11:00,6053.61,0.49,6052.98,6057.81,6048.62,120
11:00 - 11:30,6046.43,-7.18,6053.11,6053.67,6041.55,120
11:30 - 12:00,6041.5,-4.93,6047.38,6047.38,6041.5,60
03:00 - 03:30,6014.97,-26.53,6007.96,6017.73,6005.04,119
03:30 - 04:00,6006.5,-8.47,6016,6016.08,6001.39,120
04:00 - 04:30,6011.72,5.22,6006.52,6011.72,5994.59,120
04:30 - 05:00,6008.01,-3.71,6012.2,6013.76,6005.51,120
05:00 - 05:30,6013.19,5.18,6007.75,6017.42,6005.62,120
05:30 - 06:00,5999.96,-13.23,6012.73,6013.34,5998.33,120
06:00 - 06:30,6006.52,6.56,5999.12,6011.11,5999.12,120
06:30 - 07:00,5996.53,-9.99,6007.13,6007.13,5996.53,120
07:00 - 07:30,6011.97,15.44,5996.65,6013.3,5996.65,120
07:30 - 08:00,6014.3,2.33,6011.63,6015.59,6011.63,120
08:00 - 08:30,6029.61,15.31,6014.35,6030.38,6014.35,120
08:30 - 09:00,6026.66,-2.95,6029.34,6029.58,6024.89,120
09:00 - 09:30,6018.86,-7.8,6026.63,6027.84,6018.86,120
09:30 - 10:00,6036.23,17.37,6019.58,6037.93,6019.58,120
10:00 - 10:30,6027.74,-8.49,6029.05,6034.4,6022.85,120
10:30 - 11:00,6035.16,7.42,6028.01,6035.16,6027.55,120
11:00 - 11:30,6034.95,-0.21,6034.93,6039.48,6032.56,120
11:30 - 12:00,6044.16,9.21,6034.99,6044.16,6034.99,60
03:00 - 03:30,5992.42,-51.74,6001.21,6009.54,5988.63,119
03:30 - 04:00,5958.12,-34.3,5991.53,5991.53,5956.89,120
04:00 - 04:30,5962.49,4.37,5959.69,5969.8,5959.36,120
04:30 - 05:00,5967.97,5.48,5961.85,5975.88,5955.25,120
05:00 - 05:30,5965.67,-2.3,5966.39,5975.36,5964.8,120
05:30 - 06:00,5972.16,6.49,5965.23,5972.16,5960.7,120
06:00 - 06:30,5977.75,5.59,5972.71,5979.13,5968.71,120
06:30 - 07:00,5979.42,1.67,5977.64,5981.07,5975.88,120
07:00 - 07:30,5989.11,9.69,5980.76,5990.07,5980.05,120
07:30 - 08:00,5988.28,-0.83,5987.94,5991.09,5987.37,120
08:00 - 08:30,5982.45,-5.83,5987.72,5987.72,5981.67,120
08:30 - 09:00,5986.3,3.85,5982.32,5986.3,5980.95,120
09:00 - 09:30,5987.37,1.07,5984.06,5994.11,5984.06,120
09:30 - 10:00,5996.41,9.04,5986.53,5999.65,5986.53,120
10:00 - 10:30,6006.82,10.41,5996.69,6008.2,5994.78,120
10:30 - 11:00,6010.75,3.93,6007.01,6017.72,6002.88,120
11:00 - 11:30,6011.44,0.69,6010.88,6017.97,6008.93,120
11:30 - 12:00,6013.59,2.15,6011.43,6013.59,6011.43,60
03:00 - 03:30,6049.53,35.94,6033.22,6057.66,6033.22,119
03:30 - 04:00,6058.4,8.87,6049.68,6065.74,6044.84,120
04:00 - 04:30,6051.98,-6.42,6058.02,6059.99,6049.39,120
04:30 - 05:00,6045.44,-6.54,6052.04,6052.33,6033.65,120
05:00 - 05:30,6046.16,0.72,6046.88,6054.03,6041.75,120
05:30 - 06:00,6048.85,2.69,6045.84,6050.76,6041.19,120
06:00 - 06:30,6042.08,-6.77,6048.02,6050.84,6042.02,120
06:30 - 07:00,6037.31,-4.77,6041.94,6043.32,6035.91,120
07:00 - 07:30,6036.39,-0.92,6036.94,6038.1,6034.67,120
07:30 - 08:00,6036.09,-0.3,6035.34,6036.64,6031.51,120
08:00 - 08:30,6034.24,-1.85,6036.25,6036.25,6030.73,120
08:30 - 09:00,6021.71,-12.53,6033.57,6035.31,6019.8,120
09:00 - 09:30,6018.46,-3.25,6018.75,6023.21,6016.14,120
09:30 - 10:00,6014.68,-3.78,6018.94,6021.17,6000,120
10:00 - 10:30,6014.82,0.14,6017.18,6019.99,6008.73,120
10:30 - 11:00,6021.56,6.74,6015.9,6021.84,6008.25,120
11:00 - 11:30,6021.64,0.08,6020.35,6023.69,6019.14,120
11:30 - 12:00,6012.35,-9.29,6021.55,6021.55,6012.35,60
03:00 - 03:30,5981.55,-30.8,5986.81,5994.1,5972.77,119
03:30 - 04:00,5980.79,-0.76,5982.91,5987.41,5973.82,120
04:00 - 04:30,5983.94,3.15,5980.62,5989.05,5979.23,120
04:30 - 05:00,5988.2,4.26,5983.98,5990.68,5979.78,120
05:00 - 05:30,5995.36,7.16,5988.6,5997.55,5986.83,120
05:30 - 06:00,6007.54,12.18,5997.19,6009.95,5996.77,120
06:00 - 06:30,6013.13,5.59,6007.92,6013.81,6000.53,120
06:30 - 07:00,6010.7,-2.43,6013.01,6017.97,6010.52,120
07:00 - 07:30,6018.25,7.55,6011.08,6019.93,6011.08,120
07:30 - 08:00,6020.66,2.41,6018.05,6023.48,6017.34,120
08:00 - 08:30,6028.32,7.66,6020.37,6030.99,6019.98,120
08:30 - 09:00,6007.81,-20.51,6028.93,6028.93,6004.12,120
09:00 - 09:30,6006.29,-1.52,6007.87,6011.58,6005.95,120
09:30 - 10:00,6016.64,10.35,6005.43,6019.21,6004.49,120
10:00 - 10:30,6019.3,2.66,6017.62,6023.89,6014.43,120
10:30 - 11:00,6025.29,5.99,6019.31,6027.93,6017.32,120
11:00 - 11:30,6025.59,0.3,6023.2,6029.44,6014.76,120
11:30 - 12:00,6031,5.41,6025.59,6031,6025.59,60
03:00 - 03:30,6063.74,32.74,6066.75,6071.66,6057.02,119
03:30 - 04:00,6063.91,0.17,6064.11,6068.69,6062.96,120
04:00 - 04:30,6061.2,-2.71,6063.99,6067.54,6059.88,120
04:30 - 05:00,6056.63,-4.57,6061,6063.35,6051.53,120
05:00 - 05:30,6052.2,-4.43,6056.85,6058.63,6052.2,120
05:30 - 06:00,6048.68,-3.52,6052.75,6053.89,6046.17,120
06:00 - 06:30,6054.56,5.88,6048.85,6054.56,6048.53,120
06:30 - 07:00,6056.73,2.17,6055.04,6058.24,6053.67,120
07:00 - 07:30,6051.23,-5.5,6056.91,6056.91,6046.19,120
07:30 - 08:00,6043.41,-7.82,6049.94,6050.77,6037.67,120
08:00 - 08:30,6042.22,-1.19,6042.16,6046.19,6042.06,120
08:30 - 09:00,6045.69,3.47,6042.96,6047.93,6041.5,120
09:00 - 09:30,6050.35,4.66,6045.48,6051.14,6045.38,120
