Time Interval,Close,Net Chg,Open,High,Low,Tick Count
Summary,13718.78,469.77,13233.71,13903.11,8255.65,7954009
03:00 - 03:30,13284.55,35.54,13233.71,13303.74,13225.16,1771
03:30 - 04:00,13329.28,44.73,13284.86,13338.14,13280.31,1800
04:00 - 04:30,13335.39,6.11,13329.13,13346.67,13326.06,1800
04:30 - 05:00,13357.98,22.59,13335.39,13369.57,13324.33,1800
05:00 - 05:30,13366.22,8.24,13357.95,13371.78,13350.63,1800
05:30 - 06:00,13357.74,-8.48,13365.95,13370.78,13357.74,1800
06:00 - 06:30,13349.18,-8.56,13357.74,13358.94,13342.41,1800
06:30 - 07:00,13353.43,4.25,13348.49,13354.3,13336.62,1800
07:00 - 07:30,13367.02,13.59,13353.62,13372.83,13353.6,1800
07:30 - 08:00,13364.75,-2.27,13367.02,13373.41,13361.55,1800
08:00 - 08:30,13380.23,15.48,13364.7,13384.32,13364.15,1800
08:30 - 09:00,13384.08,3.85,13380.23,13385.22,13376.23,1800
09:00 - 09:30,13382.24,-1.84,13383.66,13385.86,13375.58,1800
09:30 - 10:00,13397.4,15.16,13381.87,13398.2,13379.11,1800
10:00 - 10:30,13412.99,15.59,13397.45,13413.04,13379.48,1800
10:30 - 11:00,13415.94,2.95,13413.21,13425.03,13399.42,1800
11:00 - 11:30,13396.3,-19.64,13415.82,13415.82,13381.85,1800
11:30 - 12:00,13385.93,-10.37,13396.38,13396.38,13385.24,900
03:00 - 03:30,13271.53,-114.4,13266.39,13282.74,13251.1,1640
03:30 - 04:00,13214.01,-57.52,13271.38,13273.87,13213.67,1800
04:00 - 04:30,13203.69,-10.32,13213.02,13213.76,13170.5,1800
04:30 - 05:00,13191.26,-12.43,13203.69,13211.69,13182.79,1800
05:00 - 05:30,13180.42,-10.84,13191,13201.39,13178.67,1800
05:30 - 06:00,13134.65,-45.77,13179.86,13180.12,13128.35,1800
06:00 - 06:30,13158.4,23.75,13134.5,13163.98,13132.72,1800
