Time Interval,Close,Net Chg,Open,High,Low,Tick Count
Summary,22232.9,-1273.47,23606.97,25483.05,14153.09,14885659
03:00 - 03:30,23685.51,179.14,23606.97,23712.62,23571.59,5337
03:30 - 04:00,23724.23,38.72,23685.51,23738.8,23667.23,3863
04:00 - 04:30,23744.27,20.04,23723.75,23759.53,23723.54,3341
04:30 - 05:00,23779.15,34.88,23741.17,23784.16,23725.94,3499
05:00 - 05:30,23825.39,46.24,23779.18,23834.15,23778.73,3435
05:30 - 06:00,23825.74,0.35,23825.18,23842.86,23821.68,2946
06:00 - 06:30,23799.09,-26.65,23825.94,23830.52,23792.82,2560
06:30 - 07:00,23810.54,11.45,23798.99,23812.65,23781.1,2204
07:00 - 07:30,23819.98,9.44,23810.67,23826.22,23806.67,1988
07:30 - 08:00,23834.9,14.92,23819.95,23840.67,23813.69,2046
08:00 - 08:30,23840.17,5.27,23834.96,23849.82,23832.71,2082
08:30 - 09:00,23831.59,-8.58,23840.24,23842.83,23824.66,1948
09:00 - 09:30,23826.66,-4.93,23831.9,23832.23,23804.4,2340
09:30 - 10:00,23827.21,0.55,23826.33,23841.01,23808.54,2821
10:00 - 10:30,23840.33,13.12,23826.92,23841.25,23810.4,2685
10:30 - 11:00,23855.04,14.71,23840.77,23861.99,23829.65,3006
11:00 - 11:30,23839.35,-15.69,23855.04,23858.86,23825.46,3564
11:30 - 12:00,23836.26,-3.09,23836.26,23836.26,23836.26,1
03:00 - 03:30,23713.24,-123.02,23709.9,23759.89,23701.12,5846
03:30 - 04:00,23571.14,-142.1,23713.24,23727.41,23566.64,5297
04:00 - 04:30,23589.56,18.42,23571.29,23589.77,23548.19,4870
04:30 - 05:00,23564.81,-24.75,23588.59,23604.26,23563.48,3370
05:00 - 05:30,23577.77,12.96,23564.87,23595.71,23556.3,3067
05:30 - 06:00,23540.08,-37.69,23577.49,23593.33,23532.42,3583
06:00 - 06:30,23566.04,25.96,23540.23,23582.22,23538.51,2423
06:30 - 07:00,23517.77,-48.27,23566.04,23568.8,23516.81,2323
07:00 - 07:30,23569.12,51.35,23517.61,23576.85,23517.61,2187
07:30 - 08:00,23596.4,27.28,23569.1,23596.4,23568.43,1894
08:00 - 08:30,23660.49,64.09,23596.36,23665.88,23595.08,2385
08:30 - 09:00,23672.07,11.58,23660.55,23677.05,23660.55,2268
09:00 - 09:30,23688.26,16.19,23672.17,23706.11,23671.66,2521
09:30 - 10:00,23735.71,47.45,23688.26,23748.65,23688.26,3365
10:00 - 10:30,23699.64,-36.07,23733.86,23735.24,23679.04,2908
10:30 - 11:00,23720.82,21.18,23699.64,23729.65,23699.61,2572
11:00 - 11:30,23698.75,-22.07,23721.26,23724.01,23693.29,3729
