Time Interval,Close,Net Chg,Open,High,Low,Tick Count
Summary,27568.15,3911.53,23319.76,27602.52,16358.19,872189
19:00 - 19:30,23245.97,-410.65,23319.76,23365.36,23210.49,360
19:30 - 20:00,23249.73,3.76,23247.25,23267.08,23227.18,360
20:00 - 20:30,23224.52,-25.21,23249.86,23249.9,23208.3,360
20:30 - 21:00,23156.28,-68.24,23225.07,23227.43,23153.71,360
21:00 - 21:30,23170.28,14,23157.34,23175.94,23148.53,360
21:30 - 22:00,23173.35,3.07,23173.35,23173.35,23173.35,2
22:30 - 23:00,23202.43,29.08,23180.47,23208.11,23176.44,360
23:00 - 23:30,23229.33,26.9,23203.56,23237.59,23187.41,360
23:30 - 00:00,23242.6,13.27,23227.9,23242.6,23225.3,360
00:00 - 00:30,23190.4,-52.2,23242.77,23243.96,23185.55,360
00:30 - 01:00,23195.35,4.95,23192.01,23195.35,23176.8,360
01:00 - 01:30,23204.86,9.51,23204.86,23204.86,23204.86,2
19:00 - 19:30,23356.2,151.34,23320.12,23380.65,23299.92,360
19:30 - 20:00,23452.28,96.08,23356.49,23473.64,23356.49,360
20:00 - 20:30,23438.77,-13.51,23454.13,23477.24,23438.77,360
20:30 - 21:00,23490.14,51.37,23438.64,23503.16,23438.64,360
21:00 - 21:30,23553.44,63.3,23488.24,23559.59,23485.71,360
21:30 - 22:00,23552.97,-0.47,23552.97,23552.97,23552.97,2
22:30 - 23:00,23499.47,-53.5,23520.44,23529.92,23492.13,360
23:00 - 23:30,23528.83,29.36,23503.17,23536.03,23501.61,360
23:30 - 00:00,23550.79,21.96,23529.32,23553.68,23527.77,360
00:00 - 00:30,23562.84,12.05,23549.2,23577.44,23540.66,360
00:30 - 01:00,23570.2,7.36,23561.76,23572.58,23543.26,360
01:00 - 01:30,23575.72,5.52,23575.72,23575.72,23575.72,2
19:00 - 19:30,23021.88,-553.84,23217.49,23256.34,23021.41,360
19:30 - 20:00,23040.23,18.35,23020.75,23043.91,22951.18,360
20:00 - 20:30,22998,-42.23,23031,23067.9,22986.98,360
20:30 - 21:00,23050.72,52.72,23003.3,23127.75,22967.06,360
21:00 - 21:30,23120.44,69.72,23051.05,23134.66,23034.7,360
21:30 - 22:00,23114.64,-5.8,23114.64,23114.64,23114.64,2
22:30 - 23:00,23292.8,178.16,23258.88,23292.8,23222.83,360
23:00 - 23:30,23284.4,-8.4,23292.46,23303.21,23274.3,360
23:30 - 00:00,23214.66,-69.74,23284.31,23284.78,23205.9,360
00:00 - 00:30,23224.37,9.71,23215.81,23242.41,23215.81,360
00:30 - 01:00,23196.03,-28.34,23222.93,23228.5,23173.65,360
01:00 - 01:30,23204.76,8.73,23204.76,23204.76,23204.76,2
19:00 - 19:30,23567.7,362.94,23530.29,23593.14,23506.15,360
19:30 - 20:00,23576.49,8.79,23576.99,23588.94,23564.58,360
20:00 - 20:30,23634.95,58.46,23576.38,23637.4,23574.4,360
20:30 - 21:00,23646.23,11.28,23633.99,23652.74,23624.04,360
21:00 - 21:30,23666.38,20.15,23646.39,23666.38,23630.28,360
21:30 - 22:00,23677.81,11.43,23677.81,23677.81,23677.81,2
22:30 - 23:00,23659.76,-18.05,23639.79,23661.74,23637.6,360
23:00 - 23:30,23684.25,24.49,23660.6,23684.31,23657.91,360
23:30 - 00:00,23712.84,28.59,23685.66,23713.36,23685.66,360
00:00 - 00:30,23742.39,29.55,23712.57,23748.68,23706.9,360
00:30 - 01:00,23730.41,-11.98,23741.87,23767.09,23730.41,360
01:00 - 01:30,23739.87,9.46,23739.87,23739.87,23739.87,2
19:00 - 19:30,23868.13,128.26,23813.28,23868.34,23794.79,360
19:30 - 20:00,23824.65,-43.48,23870.49,23903.29,23809.4,360
20:00 - 20:30,23798.32,-26.33,23823.97,23847.13,23795.54,360
20:30 - 21:00,23812.44,14.12,23800.1,23815.33,23761.08,360
21:00 - 21:30,23776.47,-35.97,23809.9,23822.45,23775.59,360
21:30 - 22:00,23776.09,-0.38,23776.09,23776.09,23776.09,2
22:30 - 23:00,23793.02,16.93,23789.04,23799.76,23781.37,360
23:00 - 23:30,23799.4,6.38,23793.53,23801.43,23784.77,360
23:30 - 00:00,23835.13,35.73,23799.8,23835.13,23798.27,360
00:00 - 00:30,23833.21,-1.92,23837.65,23844.26,23818.77,360
00:30 - 01:00,23831.44,-1.77,23832,23855.36,23825.31,360
01:00 - 01:30,23850.57,19.13,23850.57,23850.57,23850.57,2
19:00 - 19:30,24040.26,189.69,23969.04,24050.7,23951.66,360
19:30 - 20:00,24036.02,-4.24,24047.26,24059.86,24000.43,360
20:00 - 20:30,24032.69,-3.33,24038.16,24049.4,23998,360
20:30 - 21:00,24028.93,-3.76,24033.69,24040.15,24014.11,360
21:00 - 21:30,24026.1,-2.83,24029.07,24038.68,24008.66,360
21:30 - 22:00,24026.81,0.71,24026.81,24026.81,24026.81,2
22:30 - 23:00,23971.81,-55,23979.41,23989.97,23956.45,360
23:00 - 23:30,23996.21,24.4,23971.2,23999.88,23964.51,360
23:30 - 00:00,24000.09,3.88,23996.27,24009.37,23980.03,360
00:00 - 00:30,24023.48,23.39,23999.86,24024.24,23995.01,360
00:30 - 01:00,24020.1,-3.38,24022.6,24025.98,24003.41,360
01:00 - 01:30,24025.17,5.07,24025.17,24025.17,24025.17,2
19:00 - 19:30,23993.93,-31.24,23923.48,23997.39,23923.11,360
19:30 - 20:00,23936.53,-57.4,23994.3,23994.58,23932.99,360
20:00 - 20:30,23966.98,30.45,23937.01,23979.82,23934.37,360
20:30 - 21:00,23955.56,-11.42,23966.4,23990.48,23949.77,360
21:00 - 21:30,23917.91,-37.65,23954.19,23958.4,23914.92,360
21:30 - 22:00,23914.88,-3.03,23914.88,23914.88,23914.88,2
22:30 - 23:00,23914.62,-0.26,23894.41,23926.19,23893.63,360
23:00 - 23:30,23884.92,-29.7,23913.51,23913.51,23882.55,360
23:30 - 00:00,23896.14,11.22,23885.2,23904.61,23875.82,360
00:00 - 00:30,23889.05,-7.09,23895.73,23901.18,23878.05,360
00:30 - 01:00,23913.32,24.27,23890.98,23915.67,23890.98,360
01:00 - 01:30,23916.58,3.26,23916.58,23916.58,23916.58,2
19:00 - 19:30,23928.11,11.53,23960.2,23975.38,23910.12,360
19:30 - 20:00,23921.86,-6.25,23933.65,23962.43,23921.11,360
20:00 - 20:30,23924.59,2.73,23921.83,23937.48,23913.12,360
20:30 - 21:00,23935.48,10.89,23924.51,23935.48,23905.38,360
21:00 - 21:30,23950.27,14.79,23935.24,23962.06,23935.14,360
21:30 - 22:00,23950.9,0.63,23950.9,23950.9,23950.9,2
22:30 - 23:00,23926.42,-24.48,23943.39,23946.2,23920.18,360
23:00 - 23:30,23936.57,10.15,23927.33,23939.79,23921.72,360
23:30 - 00:00,23918.18,-18.39,23937.17,23937.35,23914.56,360
00:00 - 00:30,23922.03,3.85,23918.09,23928.17,23910.85,360
00:30 - 01:00,23936.75,14.72,23919.99,23953.25,23916.86,360
01:00 - 01:30,23933.13,-3.62,23933.13,23933.13,23933.13,2
19:00 - 19:30,24062.01,128.88,24103.45,24115.95,24053.23,360
19:30 - 20:00,24065.25,3.24,24064.66,24076.55,24049.67,360
20:00 - 20:30,24040.59,-24.66,24064.69,24066.52,24038.99,360
20:30 - 21:00,24040.79,0.2,24040.65,24046.19,24013.75,360
21:00 - 21:30,24053.6,12.81,24046.5,24076.18,24046.03,360
21:30 - 22:00,24050.16,-3.44,24050.16,24050.16,24050.16,2
22:30 - 23:00,24054.03,3.87,24056.54,24058.84,24044.62,360
23:00 - 23:30,24041.08,-12.95,24054.47,24056.22,24040.3,360
23:30 - 00:00,24038.33,-2.75,24045.29,24048.3,24037.9,360
00:00 - 00:30,24045.73,7.4,24038.08,24048.44,24028.82,360
00:30 - 01:00,24035.14,-10.59,24047.17,24062.22,24032.99,360
01:00 - 01:30,24041.26,6.12,24041.26,24041.26,24041.26,2
19:00 - 19:30,24074.33,33.07,24080.68,24105.34,24061.67,360
19:30 - 20:00,24070.7,-3.63,24073.53,24090.31,24063.12,360
20:00 - 20:30,24086.95,16.25,24069.7,24090.97,24069.6,360
20:30 - 21:00,24082.88,-4.07,24085.49,24096.68,24075.24,360
21:00 - 21:30,24105.82,22.94,24083.34,24107.69,24078.68,360
21:30 - 22:00,24101.29,-4.53,24101.29,24101.29,24101.29,2
22:30 - 23:00,24095.34,-5.95,24100.16,24101.66,24089.7,360
23:00 - 23:30,24096.62,1.28,24096.02,24104.62,24094.56,360
23:30 - 00:00,24098.26,1.64,24097.1,24102.45,24096.58,360
00:00 - 00:30,24093.11,-5.15,24098.3,24108.11,24091.31,360
00:30 - 01:00,24084.07,-9.04,24093.24,24100.17,24083.26,360
01:00 - 01:30,24083.51,-0.56,24083.51,24083.51,24083.51,2
19:00 - 19:30,24059.31,-24.2,24072.81,24081.75,24042.32,360
19:30 - 20:00,24064.42,5.11,24061.14,24073.52,24054.46,360
20:00 - 20:30,23930.53,-133.89,24064.07,24064.07,23880.45,360
20:30 - 21:00,23884.41,-46.12,23928.76,23933.55,23852.06,360
21:00 - 21:30,23896.43,12.02,23886.05,23909.68,23886.05,360
21:30 - 22:00,23902.6,6.17,23902.6,23902.6,23902.6,2
22:30 - 23:00,23865.11,-37.49,23882.56,23888.44,23856.01,360
23:00 - 23:30,23848.37,-16.74,23865.95,23881.22,23848.37,360
23:30 - 00:00,23866.23,17.86,23848.66,23870.74,23847.32,360
00:00 - 00:30,23864.9,-1.33,23868.83,23886.48,23861.78,360
00:30 - 01:00,23855.89,-9.01,23866.33,23884.21,23843.48,360
01:00 - 01:30,23864.56,8.67,23864.56,23864.56,23864.56,2
19:00 - 19:30,23890.95,26.39,23835.49,23897.06,23831.1,360
19:30 - 20:00,23901.12,10.17,23892.7,23902.11,23866.43,360
20:00 - 20:30,23941.27,40.15,23903.24,23943.78,23902.75,360
20:30 - 21:00,23905.5,-35.77,23945.3,23950.95,23902.53,360
21:00 - 21:30,23975.72,70.22,23904.73,23992.73,23904.48,360
21:30 - 22:00,23985.5,9.78,23985.5,23985.5,23985.5,2
22:30 - 23:00,24003.77,18.27,24032.74,24036.43,24003.22,360
23:00 - 23:30,23997.99,-5.78,24004.62,24008.34,23991.28,360
23:30 - 00:00,23996.79,-1.2,23998.26,24008.39,23993.4,360
00:00 - 00:30,24013.99,17.2,23996.85,24015.97,23993.73,360
00:30 - 01:00,24036.42,22.43,24015.37,24040.87,24015.37,360
01:00 - 01:30,24031.35,-5.07,24031.35,24031.35,24031.35,2
19:00 - 19:30,23786.22,-245.13,23843.51,23872.63,23779.23,360
19:30 - 20:00,23875,88.78,23798.27,23885.43,23797.01,360
20:00 - 20:30,23876.01,1.01,23875.57,23883.81,23843.91,360
20:30 - 21:00,23885.86,9.85,23876.94,23891.73,23864.4,360
21:00 - 21:30,23880.18,-5.68,23886.4,23910.01,23873.28,360
21:30 - 22:00,23877.89,-2.29,23877.89,23877.89,23877.89,2
22:30 - 23:00,23817.61,-60.28,23828.88,23834.77,23815.48,360
