Time Interval,Close,Net Chg,Open,High,Low,Tick Count
Summary,6555.82,-1037.11,7587.05,7689.67,4898.79,30235464
03:00 - 03:30,7551.87,-41.06,7587.05,7587.41,7532.38,4271
03:30 - 04:00,7559.96,8.09,7551.89,7571.03,7551.89,2221
04:00 - 04:30,7569.33,9.37,7559.97,7569.36,7553.15,2276
04:30 - 05:00,7558.43,-10.9,7569.34,7573.74,7556.79,2063
05:00 - 05:30,7576.33,17.9,7558.45,7576.62,7557.9,2240
05:30 - 06:00,7568,-8.33,7576.32,7576.33,7559.84,2426
06:00 - 06:30,7540.67,-27.33,7568.01,7569.32,7540.67,2591
06:30 - 07:00,7539.65,-1.02,7540.71,7546.01,7535.81,2812
07:00 - 07:30,7555.82,16.17,7539.65,7560.22,7539.65,4484
07:30 - 08:00,7542.44,-13.38,7542.44,7542.44,7542.44,1
03:00 - 03:30,7611.95,69.51,7542.44,7612.91,7542.44,12822
03:30 - 04:00,7613.01,1.06,7611.97,7616.42,7591.64,7529
04:00 - 04:30,7608.4,-4.61,7612.98,7620.01,7603.56,5974
04:30 - 05:00,7619.61,11.21,7608.38,7624.78,7604.04,5160
05:00 - 05:30,7616.61,-3,7619.53,7620.75,7611.25,3855
05:30 - 06:00,7618.44,1.83,7616.54,7622.04,7614.03,3191
06:00 - 06:30,7611.51,-6.93,7618.44,7618.44,7611.51,2904
06:30 - 07:00,7608.66,-2.85,7611.46,7611.46,7604.47,2698
07:00 - 07:30,7612.64,3.98,7608.66,7612.73,7604.88,3229
07:30 - 08:00,7612.88,0.24,7612.58,7616.4,7609.08,2600
08:00 - 08:30,7617.36,4.48,7612.84,7617.98,7609.65,2689
08:30 - 09:00,7614.16,-3.2,7617.38,7619.65,7613.32,2899
09:00 - 09:30,7614.16,0,7614.17,7618.17,7613.47,3128
09:30 - 10:00,7616.66,2.5,7614.19,7618.85,7612.44,4817
10:00 - 10:30,7603.48,-13.18,7616.69,7616.88,7598.22,4819
10:30 - 11:00,7608.83,5.35,7603.48,7610.1,7597.82,4909
11:00 - 11:30,7608.06,-0.77,7608.82,7615.37,7602.94,5904
03:00 - 03:30,7570.91,-37.15,7604.3,7604.98,7562.78,8397
03:30 - 04:00,7569.28,-1.63,7570.93,7578.14,7566.78,6154
04:00 - 04:30,7572.06,2.78,7569.3,7572.07,7563.76,4779
04:30 - 05:00,7580.05,7.99,7572.08,7580.38,7571.92,4043
05:00 - 05:30,7575.21,-4.84,7580.05,7581.52,7574.7,3796
05:30 - 06:00,7551.39,-23.82,7575.21,7577.74,7551.19,4196
06:00 - 06:30,7564.49,13.1,7551.4,7569.65,7551,3349
06:30 - 07:00,7567.05,2.56,7564.41,7569.62,7563.27,2937
07:00 - 07:30,7581.58,14.53,7567.05,7585.25,7566.84,3594
07:30 - 08:00,7583.47,1.89,7581.53,7584.74,7579.56,2560
08:00 - 08:30,7598.93,15.46,7583.48,7599.62,7583.13,2996
08:30 - 09:00,7595.44,-3.49,7599.24,7599.84,7591.33,2901
09:00 - 09:30,7589.8,-5.64,7595.43,7597.26,7589.74,3063
09:30 - 10:00,7616.18,26.38,7589.76,7620.51,7589.76,5412
10:00 - 10:30,7609.33,-6.85,7614.98,7616.13,7599.09,5142
10:30 - 11:00,7626.41,17.08,7609.32,7626.41,7609.28,4330
11:00 - 11:30,7613.81,-12.6,7626.36,7626.36,7608.59,5403
03:00 - 03:30,7573.99,-39.82,7622.4,7622.4,7573.62,9492
03:30 - 04:00,7534.16,-39.83,7574,7577.51,7534.16,7672
04:00 - 04:30,7540.39,6.23,7534.19,7550.17,7534.1,5463
04:30 - 05:00,7543.39,3,7540.4,7547.29,7528.08,5205
05:00 - 05:30,7542.36,-1.03,7543.57,7556.51,7540.56,4085
05:30 - 06:00,7548.3,5.94,7542.35,7548.8,7532.64,3309
06:00 - 06:30,7548.16,-0.14,7548.27,7550.35,7539.91,3098
06:30 - 07:00,7548.25,0.09,7548.2,7552.28,7544.89,3058
07:00 - 07:30,7558.23,9.98,7548.25,7558.6,7548.13,3286
07:30 - 08:00,7559.56,1.33,7558.24,7561.09,7554.32,2760
08:00 - 08:30,7554.38,-5.18,7559.57,7559.68,7549.74,2785
08:30 - 09:00,7561.78,7.4,7554.37,7562.01,7552.39,2919
09:00 - 09:30,7558.32,-3.46,7561.75,7567.72,7557.07,3512
09:30 - 10:00,7571.6,13.28,7558.34,7575.84,7557.5,5497
10:00 - 10:30,7577.86,6.26,7571.64,7580.18,7570.83,4339
10:30 - 11:00,7575.25,-2.61,7578.26,7585.64,7572.83,4325
11:00 - 11:30,7565.41,-9.84,7575.25,7578.86,7565.33,5223
03:00 - 03:30,7583.97,18.56,7575.34,7604.59,7575.34,8813
03:30 - 04:00,7581.68,-2.29,7584.01,7586.53,7570.78,6102
04:00 - 04:30,7575.99,-5.69,7581.65,7582.89,7570.92,4579
04:30 - 05:00,7586.01,10.02,7575.98,7586.07,7566.53,4271
05:00 - 05:30,7583.78,-2.23,7586.04,7586.63,7576.88,3786
05:30 - 06:00,7588.91,5.13,7583.76,7591.94,7580.12,3487
06:00 - 06:30,7585.42,-3.49,7588.92,7591.75,7585.32,2899
06:30 - 07:00,7585.45,0.03,7585.44,7588.69,7582.26,2866
07:00 - 07:30,7593.2,7.75,7585.45,7593.73,7584.28,3675
07:30 - 08:00,7590.36,-2.84,7593.12,7593.16,7585.63,2812
08:00 - 08:30,7592.4,2.04,7590.44,7594.31,7588.37,3149
08:30 - 09:00,7573.93,-18.47,7592.38,7592.43,7572.9,3760
09:00 - 09:30,7574.61,0.68,7573.87,7579.35,7569.17,3989
09:30 - 10:00,7574.91,0.3,7574.61,7577.35,7562.14,5997
10:00 - 10:30,7578.1,3.19,7575.13,7581.16,7570.6,5189
10:30 - 11:00,7574.26,-3.84,7578.11,7581,7570.28,5108
11:00 - 11:30,7571.27,-2.99,7574.28,7578.62,7571.27,6328
03:00 - 03:30,7529.64,-41.63,7573.85,7573.85,7524.96,10892
03:30 - 04:00,7534.62,4.98,7529.65,7548.48,7529.64,7194
04:00 - 04:30,7537.81,3.19,7534.63,7542.44,7533.03,4980
04:30 - 05:00,7552.95,15.14,7537.89,7556.04,7537.36,4634
05:00 - 05:30,7560.04,7.09,7552.94,7562.88,7552.5,4500
05:30 - 06:00,7569.67,9.63,7560.04,7571.6,7555.45,4051
06:00 - 06:30,7574.44,4.77,7569.67,7575.55,7566.24,3750
06:30 - 07:00,7572.52,-1.92,7574.39,7579.48,7570.9,3495
07:00 - 07:30,7572.55,0.03,7572.52,7575.16,7570.48,3657
07:30 - 08:00,7570.55,-2,7572.54,7577.5,7570.49,3496
08:00 - 08:30,7574.63,4.08,7570.56,7574.63,7565,3864
08:30 - 09:00,7552.42,-22.21,7574.68,7575.85,7551.47,4180
09:00 - 09:30,7547.81,-4.61,7552.42,7554.19,7547.38,4366
09:30 - 10:00,7562.36,14.55,7547.73,7563.02,7546.21,5699
10:00 - 10:30,7556.64,-5.72,7562.44,7564.35,7556.37,5385
10:30 - 11:00,7565.23,8.59,7556.63,7567.14,7553.55,5967
11:00 - 11:30,7569.31,4.08,7565.34,7575.59,7562.15,6674
03:00 - 03:30,7607.11,37.8,7574.93,7613.35,7574.93,8993
03:30 - 04:00,7606.13,-0.98,7607.14,7612.7,7600.92,5926
04:00 - 04:30,7598.42,-7.71,7606.12,7611.39,7598.42,5435
04:30 - 05:00,7624.32,25.9,7598.43,7624.95,7598.21,5763
05:00 - 05:30,7620.11,-4.21,7624.35,7627.76,7618.87,4559
05:30 - 06:00,7615.37,-4.74,7620.11,7621.55,7614.36,3602
06:00 - 06:30,7613.06,-2.31,7615.34,7618.3,7612.19,3337
06:30 - 07:00,7619.38,6.32,7613.09,7619.38,7613.09,3064
07:00 - 07:30,7614.31,-5.07,7619.38,7622.04,7610.64,4053
07:30 - 08:00,7604.55,-9.76,7614.3,7614.94,7603.25,2937
08:00 - 08:30,7609.96,5.41,7604.52,7611.29,7604.39,2967
08:30 - 09:00,7612.34,2.38,7609.97,7615.25,7609.68,3435
09:00 - 09:30,7614.64,2.3,7612.37,7615.89,7610.02,3600
09:30 - 10:00,7615.86,1.22,7614.63,7617.53,7609.97,5573
10:00 - 10:30,7605.61,-10.25,7615.89,7615.96,7603.1,5210
10:30 - 11:00,7608.34,2.73,7605.63,7611.16,7604.61,5003
11:00 - 11:30,7597.57,-10.77,7608.36,7609.11,7592.7,5688
03:00 - 03:30,7603.33,5.76,7598.12,7631.96,7598.11,9186
03:30 - 04:00,7593.59,-9.74,7603.33,7608.83,7590.3,5843
