Time Interval,Close,Net Chg,Open,High,Low,Tick Count
Summary,3732.04,510.75,3215.18,3756.12,2191.86,6296971
09:30 - 10:00,3222.76,1.47,3215.18,3225.1,3212.03,1800
10:00 - 10:30,3217.86,-4.9,3222.87,3223.38,3217.85,1800
10:30 - 11:00,3214.64,-3.22,3217.85,3218.65,3214.36,1800
11:00 - 11:30,3215.34,0.7,3214.6,3217.22,3214.45,1800
11:30 - 12:00,3216.35,1.01,3215.33,3218.92,3213.38,1800
12:00 - 12:30,3216.7,0.35,3216.37,3217.35,3214.52,1800
12:30 - 13:00,3216.99,0.29,3216.7,3217.86,3216.38,1800
13:00 - 13:30,3217.33,0.34,3216.95,3218.36,3216.9,1800
13:30 - 14:00,3219.38,2.05,3217.37,3219.51,3217.37,1800
14:00 - 14:30,3220.34,0.96,3219.33,3220.34,3217.73,1800
14:30 - 15:00,3219.74,-0.6,3220.37,3221.03,3219.23,1800
15:00 - 15:30,3224.16,4.42,3219.74,3224.16,3219.16,1800
15:30 - 16:00,3229.7,5.54,3224.16,3231.72,3223.98,1800
16:00 - 16:30,3230.78,1.08,3230.22,3230.78,3230.22,900
09:30 - 10:00,3248.7,17.92,3244.67,3250.04,3244.16,1800
10:00 - 10:30,3239.69,-9.01,3248.8,3248.81,3236.51,1800
10:30 - 11:00,3242.45,2.76,3239.77,3242.99,3236.74,1800
11:00 - 11:30,3241.72,-0.73,3242.44,3243.53,3241.54,1800
11:30 - 12:00,3240.4,-1.32,3241.66,3241.66,3235.53,1800
12:00 - 12:30,3241.4,1,3240.4,3242.63,3239.45,1800
12:30 - 13:00,3243.4,2,3241.41,3244.13,3241.3,1800
13:00 - 13:30,3240.68,-2.72,3243.44,3243.44,3240.18,1800
13:30 - 14:00,3241.36,0.68,3240.69,3241.67,3239.56,1800
14:00 - 14:30,3245.36,4,3241.37,3245.74,3241.14,1800
14:30 - 15:00,3247.72,2.36,3245.21,3248.54,3244.85,1800
15:00 - 15:30,3248.73,1.01,3247.7,3249.15,3247.25,1800
15:30 - 16:00,3258.14,9.41,3248.79,3258.14,3248.3,1800
16:00 - 16:30,3257.85,-0.29,3258.04,3258.04,3257.84,900
09:30 - 10:00,3237.65,-20.2,3226.36,3239.25,3222.34,1800
10:00 - 10:30,3237.68,0.03,3234.75,3238.37,3230.72,1800
10:30 - 11:00,3234.68,-3,3237.66,3240.44,3234.04,1800
11:00 - 11:30,3236,1.32,3235.14,3236.97,3231.2,1800
11:30 - 12:00,3241.27,5.27,3235.72,3242.01,3235.72,1800
12:00 - 12:30,3243.02,1.75,3241.27,3245.59,3241.21,1800
12:30 - 13:00,3244.02,1,3242.98,3246.15,3242.68,1800
13:00 - 13:30,3243.94,-0.08,3244.05,3245.14,3241.99,1800
13:30 - 14:00,3239.17,-4.77,3243.96,3244.17,3233.69,1800
14:00 - 14:30,3237.98,-1.19,3239.17,3240.32,3235.58,1800
14:30 - 15:00,3242.25,4.27,3237.9,3242.58,3237.49,1800
15:00 - 15:30,3238.3,-3.95,3242.24,3245.06,3238.12,1800
15:30 - 16:00,3234.35,-3.95,3238.16,3240.22,3234.35,1800
16:00 - 16:30,3234.85,0.5,3234.43,3234.85,3234.43,900
09:30 - 10:00,3225.89,-8.96,3217.55,3227.36,3214.64,1800
10:00 - 10:30,3230.73,4.84,3226.08,3230.89,3225.05,1800
10:30 - 11:00,3232.11,1.38,3230.74,3234.99,3228.82,1800
11:00 - 11:30,3232.77,0.66,3232.46,3235.01,3230.99,1800
11:30 - 12:00,3232.84,0.07,3232.84,3235.32,3231.81,1800
12:00 - 12:30,3232.91,0.07,3232.82,3234.2,3231.56,1800
12:30 - 13:00,3233.95,1.04,3232.93,3234.89,3232.66,1800
13:00 - 13:30,3238.04,4.09,3233.94,3238.04,3233.6,1800
13:30 - 14:00,3237.52,-0.52,3238.08,3238.69,3237.03,1800
14:00 - 14:30,3240.22,2.7,3237.51,3241.67,3236.04,1800
14:30 - 15:00,3239.76,-0.46,3240.25,3240.34,3239,1800
15:00 - 15:30,3240.54,0.78,3239.89,3242.34,3238.93,1800
15:30 - 16:00,3246.23,5.69,3240.49,3246.84,3239.04,1800
16:00 - 16:30,3246.28,0.05,3246.29,3246.31,3246.28,900
09:30 - 10:00,3235.84,-10.44,3241.86,3242.67,3232.43,1800
10:00 - 10:30,3238.82,2.98,3236.43,3239.46,3235.31,1800
10:30 - 11:00,3242.18,3.36,3238.82,3242.87,3234.51,1800
11:00 - 11:30,3243.87,1.69,3242.25,3244.91,3241.74,1800
11:30 - 12:00,3238.03,-5.84,3244.01,3244.05,3237,1800
12:00 - 12:30,3239.34,1.31,3238.06,3239.88,3236.67,1800
12:30 - 13:00,3238.37,-0.97,3239.3,3239.3,3237.04,1800
13:00 - 13:30,3239.92,1.55,3238.37,3240.9,3238.33,1800
13:30 - 14:00,3240.89,0.97,3239.9,3240.91,3238.43,1800
14:00 - 14:30,3237.96,-2.93,3240.89,3241,3235.98,1800
14:30 - 15:00,3239.34,1.38,3237.94,3239.42,3236.64,1800
15:00 - 15:30,3242.18,2.84,3239.42,3242.71,3239.31,1800
15:30 - 16:00,3237.13,-5.05,3242.17,3242.25,3236.11,1800
16:00 - 16:30,3237.18,0.05,3237.17,3237.19,3237.13,900
09:30 - 10:00,3246.76,9.58,3238.59,3247.7,3236.67,1800
10:00 - 10:30,3243.5,-3.26,3247.03,3249.05,3243.23,1800
10:30 - 11:00,3242.18,-1.32,3243,3244.11,3238.35,1800
11:00 - 11:30,3249.83,7.65,3242.28,3251.02,3240.45,1800
11:30 - 12:00,3257.58,7.75,3249.87,3261.3,3244.45,1800
